time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,8,6,0,0
2026-04-08 00:00:00+00:00,5,3,0,0
2026-04-09 00:00:00+00:00,20,6,0,0
2026-04-10 00:00:00+00:00,7,6,0,0
2026-04-11 00:00:00+00:00,27,9,0,0
2026-04-12 00:00:00+00:00,12,8,0,0
2026-04-13 00:00:00+00:00,28,9,0,0
2026-04-14 00:00:00+00:00,31,10,0,0
2026-04-15 00:00:00+00:00,26,8,1,1
2026-04-16 00:00:00+00:00,34,11,0,0
2026-04-17 00:00:00+00:00,10,4,0,0
2026-04-18 00:00:00+00:00,18,8,0,0
2026-04-19 00:00:00+00:00,39,13,0,0
2026-04-20 00:00:00+00:00,45,18,0,0
