time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,35,11,0,0
2026-06-23 00:00:00+00:00,51,11,0,0
2026-06-24 00:00:00+00:00,19,4,0,0
2026-06-25 00:00:00+00:00,37,9,0,0
2026-06-26 00:00:00+00:00,17,8,0,0
2026-06-27 00:00:00+00:00,19,7,0,0
2026-06-28 00:00:00+00:00,7,3,0,0
2026-06-29 00:00:00+00:00,23,9,0,0
2026-06-30 00:00:00+00:00,9,5,0,0
2026-07-01 00:00:00+00:00,14,5,0,0
2026-07-02 00:00:00+00:00,16,7,0,0
2026-07-03 00:00:00+00:00,15,5,0,0
2026-07-04 00:00:00+00:00,33,10,0,0
2026-07-05 00:00:00+00:00,8,4,0,0
